year,school,subject,download_url
112,"國立雲林科技大學-資訊工程研究所乙組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=96545&iDP=64904&iS=5059"
112,"國立雲林科技大學-資訊工程研究所甲組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=96545&iDP=64903&iS=5059"
112,"國立雲林科技大學-電子工程研究所甲組",計算機概論（4）,"https://master.get.com.tw/exam/Download.ashx?iP=96535&iDP=64898&iS=1615"
112,"國立中正大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96503&iDP=72084&iS=3086"
112,"國立中正大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96503&iDP=72083&iS=3086"
112,"國立中正大學-資訊管理學系醫療資訊管理碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96503&iDP=72085&iS=3086"
112,"國立中正大學-會計與資訊科技學系碩士班資訊組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96501&iDP=64943&iS=3086"
112,"國立中正大學-資訊工程學系碩士班乙組",計算機概論（含程式設計）,"https://master.get.com.tw/exam/Download.ashx?iP=96463&iDP=72238&iS=6531"
112,"國立中央大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=95319&iDP=72026&iS=3086"
112,"國立中央大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=95319&iDP=72025&iS=3086"
112,"國立中央大學-網路學習科技研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=95284&iDP=72007&iS=3086"
112,"國立臺北大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=95222&iDP=72112&iS=3086"
112,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=94616&iDP=71683&iS=3086"
112,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=94613&iDP=72163&iS=3086"
112,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=94499&iDP=71645&iS=3086"
112,"國立臺灣大學-地質科學系及海洋研究所聯合招生",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=94129&iDP=72336&iS=3272"
112,"國立臺灣大學-生物機電系碩士班丁組",計算機概論（A）,"https://master.get.com.tw/exam/Download.ashx?iP=94245&iDP=71793&iS=3368"
112,"國立臺灣大學-生醫電子與資訊學研究所丙組",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=94034&iDP=71849&iS=3272"
112,"國立臺灣大學-圖書資訊系碩士班",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=93555&iDP=71709&iS=3037"
111,"國立中央大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92646&iDP=69725&iS=3086"
111,"國立中央大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=92644&iDP=69724&iS=3086"
